news;internet;politics;lrscale;obedience;health;religious;relattend;livewomarr;divorced;edu3;edu6;zamieszkanie3;rozwod_balanced
20;2;3;10;1;2;10;1;2;2;3;6;2; 
20;3;3; ;1;3;5;3;2;2;1;2;3; 
20;3;3;3;2;2;1;6;2;2;2;3;2; 
20;3;3;5;1;1;5;4;2;2;2;4;3; 
20;3;3;5;2;3;5;3;2;2;2;4;3; 
20;3;3;5;4;2;5;5; ;2;2;3;1; 
20;3;3;10;2;2;10;5;2;2;1;1;3; 
20;3;4;5;3;3;3;5;2;2;2;4;3; 
20;4;2;5;1;1;7;4;2;2;1;2;3; 
20;4;2;10;1;3;4;3;1;2;2;4;1; 
20;4;3;3;3;2;3;3; ; ; ; ; ; 
20;4;3;3;5;2;8;2;2;2;2;3;2; 
20;4;3;5;3;2;4;7;2;2;2;4;1; 
20;4;3;7;3;1;0;2;1;2;2;3;1; 
20;4;3;9;3;3;6;5;2;2;3;6;1; 
20;4;3;10;2;2;9;3;2;2;2;3;3; 
20;4;4;3;4;2;2;5;1;2;3;6;2; 
20;5; ;5;2;2;7;2;1;2;2;3;3; 
20;5;2;0;5;3;0;7;1;1;3;6;2;1
20;5;2;1;4;2;0;7;1;2;3;6;2; 
20;5;2;1;5;2;0;7; ;2;3;6;1; 
20;5;2;1;5;2;1;5;2;2;2;3;1; 
20;5;2;2;3;3;2;6;2;2; ; ;1; 
20;5;2;2;4;2;5;5;1;2;3;6;2; 
20;5;2;2;4;3;8;3;2;2;1;1;2; 
20;5;2;2;5;3;0;7;2;2;1;1;1; 
20;5;2;3;3;2;0;7;1;1;2;4;3;1
20;5;2;3;3;3;3;5;2;2;1;1;3; 
20;5;2;3;3;3;3;7;2; ;3;6;2; 
20;5;2;3;5;2;1;6;1;2;3;6;1; 
20;5;2;4;4;3;2;7;1;2;3;5;1; 
20;5;2;5;1;1;8;5;2;2;2;3;2; 
20;5;2;5;3;1;5;5;2;2;3;6;3; 
20;5;2;7;1;1;1;4;2;2;1;1;2; 
20;5;2;7;3;2;0;7;1;1;2;4;3;1
20;5;2;7;3;3;2;3;2;2;3;5;1; 
20;5;2;7;3;3;9;3;2;2;3;6;3; 
20;5;2;8;1;4;0;6;2;2;2;4;2; 
20;5;2;10; ; ; ; ; ; ; ; ; ; 
20;5;2;10;5;2;1;5;2;2;1;2;3; 
20;5;3; ;1;2;3;5;1;2;2;3;2; 
20;5;3; ;3;3;5;5;2;2;1;1;2; 
20;5;3;0;1;4;10; ; ; ;1;1;2; 
20;5;3;0;2;2;5;4;2;2;2;4;3; 
20;5;3;0;3;2;0;7;1;2;2;4;3; 
20;5;3;0;3;3;1;7;2;2;1;1;2; 
20;5;3;0;4;2;0;7;2;2;1;1;2;2
20;5;3;0;4;2;3;7;2;2;1;1;2;2
20;5;3;0;4;3;1;7;2;2;2;3;2; 
20;5;3;1;4;3;0;7;1;2;3;5;1; 
20;5;3;1;5;3;0;6; ;2;2;3;3; 
20;5;3;2;2;3;4;5;2;2;1;1;2;2
20;5;3;2;4;2;0;7;2;2;1;1;1; 
20;5;3;3;1;2;8;5;1;1;2;4;2;1
20;5;3;3;2;3;1;6;2;2;3;6;2; 
20;5;3;4;3;2;7; ;1;2;3;6;1; 
20;5;3;4;4;1;2;5; ; ; ; ; ; 
20;5;3;5;1;2;7;3;2;2;3;5;3; 
20;5;3;5;2;1;8;4;1;2;3;6;2; 
20;5;3;5;2;2;8;5;2;2;2;4;2; 
20;5;3;5;3;1;1;7;1;2;3;5;2; 
20;5;3;5;3;1;4;6;1;2;2;4;1; 
20;5;3;5;3;2;0;7; ;2;3;6;1; 
20;5;3;5;3;2;5;3;2;2;2;3;1;2
20;5;3;5;3;2;6;3;2;2;3;5;3; 
20;5;3;5;3;2;6;5;1;2;3;6;2; 
20;5;3;5;3;3;0;7;2;2;1;1;2; 
20;5;3;5;3;4;5;3;2;2;2;3;2; 
20;5;3;5;4;2;0;7; ;2;3;6;2; 
20;5;3;5;4;2;1;7; ;2;3;6;1; 
20;5;3;5;4;3;3;5;1;2;2;4;2; 
20;5;3;5;4;3;4;6; ; ; ; ; ; 
20;5;3;5;4;3;5;5;1;2;1;2;2;2
20;5;3;5;4;4;2;5;1;2;2;4;3; 
20;5;3;6;2;3;8;4;2;2;2;3;3; 
20;5;3;6;4;2;5;5;2;2;1;1;2; 
20;5;3;7;2;3;5;4;2;2;3;5;3; 
20;5;3;7;3;2;7;3;1;2;3;6;3; 
20;5;3;7;3;4;6;4;2;2;1;1;2;2
20;5;3;7;4;4;2;7;2;2;2;3;1; 
20;5;3;8;2;2;7;3;2;2;2;3;1; 
20;5;3;10;1;2;4;4;1;2;2;3;3; 
20;5;4; ; ;3;5;5; ;2;1;1;1;2
20;5;4;5;2;1;6;3;2;2;1;2;3;2
20;5;4;5;2;2;5;5;2;2;1;2;1;2
20;5;4;8;2;2;4;5;1;2;2;4;3; 
25;3;2;10;1;2;9;3;2;2;2;4;2; 
25;4;3;5;1;1;2;4;2;2;2;3;3; 
25;4;3;6;3;3;7;3;1;2;3;6;2; 
25;5;2;3;2;3;7;3;2;2;3;6;3; 
25;5;3;4;4;3;5;6;2;2;3;6;2; 
25;5;3;5;2;2;5;3;2;2;1;1;3;2
25;5;3;5;4;3;0;6;2;2;3;6;3; 
25;5;4;5;4;3;7;3;1;2;3;6;1; 
30; ;2; ; ;2;7;3; ; ; ; ; ; 
30;1;2;4;4;5;6;4;2;2;1;1;3; 
30;1;3;5;2;2;2;6;2;2;1;2;3; 
30;1;3;5;2;2;7;3;2;2;2;4;3; 
30;1;3;5;2;4;9;3;2;2;1;1;3; 
30;1;3;5;3;2;4;4;2;2;1;2;3; 
30;1;3;6;2;3;6;6;1;2;1;1;3;2
30;1;3;7;3;2;9;3;2;2;1;1;3;2
30;1;3;9;3;2;5;5; ;2;1;2;1; 
30;1;3;10;2;2;10;3;2;2;1;1;3; 
30;1;4;5;2;3;10;1;1;2;1;1;3;2
30;1;4;5;3;2;8;3;2;2;2;4;3; 
30;1;4;5;3;3;3;5;2;2;1;2;3;2
30;1;4;8;2;4;9;2;2;2;1;2;2; 
30;1;4;8;3;3;7;1; ; ;1;1; ; 
30;1;4;10;1;3;9;2;2;2;2;4;2; 
30;2;2;3;3;4;8;6;2;2;1;2;3; 
30;2;2;5;1;2;3;7;1;2;2;4;1; 
30;2;2;5;2;3;2;5;1;1;2;4;2;1
30;2;2;5;2;3;3;5;2;2;1;2;2; 
30;2;2;5;3;2;5;5; ;2;1;2;3; 
30;2;2;10;1;2;8;2;2;2;2;4;3; 
30;2;3; ;3;3;3;6;2;1;2;3;1;1
30;2;3;0;1;2;9;3;2;2;1;2;2; 
30;2;3;4;2;3;6;3;2;2;1;2;3; 
30;2;3;5;1;2;5;3;1;2;1;2;3; 
30;2;3;5;2;3;8;4;2;2;1;2;3; 
30;2;3;5;3;3;3;5; ; ; ; ; ; 
30;2;3;5;4;4;5;5;2;2;1;1;2;2
30;2;3;6;3;3;10;3;2;2;1;2;3;2
30;2;3;9;3;2;3;5;2;2;2;4;3; 
30;2;3;10;1;1;4;4;2;2;2;3;1; 
30;2;3;10;2;3;5;6;2;2;1;2;3; 
30;2;3;10;2;3;10;2;2;2;1;2;3; 
30;2;4;5;2;4;2;6;2;2;1;2;2; 
30;2;4;5;3;2;6;4;2;2;1;2;3; 
30;2;4;7;2;3;5;4;2;2;2;4;3; 
30;2;4;8;3;2;4;5;2;2;2;4;3; 
30;2;4;10;2;3;10;3;2;2;1;2;3;2
30;3;2;2;3;2;5;5;2;2;3;6;2; 
30;3;2;5;2;1;6;4;2;2;2;4;3; 
30;3;2;5;2;3;8;3;2;2;2;3;3; 
30;3;2;5;4;2;5;5;2;2;2;4;1; 
30;3;2;10;1;2;10;3;2;2;2;3;3; 
30;3;2;10;2;2;5;4;2;2;2;4;3; 
30;3;3; ;1;3;5;2;2;2;2;3;2; 
30;3;3; ;3;2;6;2;2;2;1;2;3; 
30;3;3; ;3;2;8;4;2;2;2;4;2; 
30;3;3;0;2;3;5;4;2;2;2;4;2; 
30;3;3;4;2;2;6;4;2;2;2;4;2; 
30;3;3;5;1;2;5;6;1;2;2;4;3; 
30;3;3;5;2;3;4;4;2;2;3;5;3; 
30;3;3;5;2;4;7;4;1;2;2;4;2; 
30;3;3;5;3;2;3;6;2;2;1;1;3; 
30;3;3;5;3;3;5;3;2;2;2;4;1; 
30;3;3;5;5;1;0;6;1;2;2;3;2; 
30;3;3;6;1;3;4;3;2;1;2;4;2;1
30;3;3;8;1;1;8;3;2;2;1;2;3; 
30;3;3;8;3;1;7;3;2;2;1;2;3; 
30;3;3;10;2;2;10;1;2;2;2;4;1; 
30;3;3;10;4;2;5;4;2;2;1;2;3; 
30;3;4;5;2;2;6;5;2;2;2;4;2; 
30;4;2;3;1;2;6;4;2;2;2;4;3; 
30;4;2;3;2;2;7;4;1;2;3;6;3; 
30;4;2;3;3;3;3;5;2;2;3;6;2; 
30;4;2;4;3;2;6;4; ; ; ; ; ; 
30;4;2;8;2;3;5;6;1;2;2;4;1; 
30;4;2;9;3;2;7;4;1;2;3;6;3;2
30;4;3; ;2;3; ; ;1;1;2;3;2;1
30;4;3;3;4;2;0;6;1;2;2;4;2; 
30;4;3;4;3;4;1;5;2;2;1;1;3;2
30;4;3;5;2;2;6;4; ;2;2;3;2; 
30;4;3;5;2;3;10;3;1;2;1;2;3; 
30;4;3;5;3;2;5;4;1;2;3;5;2; 
30;4;3;5;3;2;5;4;2;2;2;4;3; 
30;4;3;5;3;2;6;5;1;2;3;6;1; 
30;4;3;5;3;2;9;3;2;2;2;3;3;2
30;4;3;5;3;3;2;6; ;2;2;4;3; 
30;4;3;5;3;3;8;3;2;2;3;6;3; 
30;4;3;5;4;3;2;5;2;2;3;6;1; 
30;4;3;5;5;2;0;6;2;2;2;3;2; 
30;4;3;7;1;2;7;3;2;2;1;1;2; 
30;4;3;7;3;3;7;5;2;2;2;3;2; 
30;4;3;9;3;2;8;3;2;2;1;2;2; 
30;4;3;10;1;2;7;5;2;2;2;4;1; 
30;4;3;10;1;2;9;1;2;2;3;6;2; 
30;4;3;10;2;2;8;3;2;2;1;2;3; 
30;4;4;4;1;2;9;2;2;1;2;4; ;1
30;5;1;3;5;3;0;7;2;2;1;1;2; 
30;5;1;7;4;1;8;3;2;2;3;6;1; 
30;5;1;8;1;3;10;2; ;2;2;3;1; 
30;5;1;8;2;3;0;7;2;2;1;1;3;2
30;5;1;10;2;2;10;1;2;2;2;3;1; 
30;5;1;10;4;2;9;2;2;2;2;3;1; 
30;5;2; ; ;2;5;4;2;2;2;4;3; 
30;5;2; ;3;3;4;6; ;2;3;6;1; 
30;5;2;0;2;1;5;4;2;2;2;4;3; 
30;5;2;0;2;1;10;4;1;2;2;4;3; 
30;5;2;0;3;2;2;5;1;2;1;2;3; 
30;5;2;1;2;4;2;7;2;2;1;1;1; 
30;5;2;1;5;2;0;7;1;1;3;6;1;1
30;5;2;2;2;3;6;5;2;2;2;3;2;2
30;5;2;2;4;3;5;5; ;2;2;3;1; 
30;5;2;3;2;1;2;5;1;2;3;6;1; 
30;5;2;3;2;2;0;7;2;2;2;3;2; 
30;5;2;3;2;2;2;6;1;2;3;6;2; 
30;5;2;3;3;2;2;5;1;2;3;6;1; 
30;5;2;3;4;2;6;3;2;2;3;5;2; 
30;5;2;3;4;3;1;6;2;2;3;6;2; 
